ip,asn,asn_description,country,network_name
17.193.205.227,714,"APPLE-ENGINEERING, US",,APPLE-WWNET
182.23.160.109,38496,"CNI-AS-ID PT Cyber Network Indonesia, ID",ID,CNI-ID
86.215.32.23,3215,"France Telecom - Orange, FR",FR,IP2000-ADSL-BAS
210.222.226.86,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
95.223.37.117,3209,"VODANET International IP-Backbone of Vodafone, DE",DE,UNITYMEDIA-POOL-NET
30.150.61.47,749,"DNIC-AS-00749, US",,DNIC-NET-030
88.212.86.193,31027,"GLOBALCONNECT-AS31027, DK",DK,DK-GLOBALCONNECT-20051215
20.189.74.204,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
128.202.175.126,56,"DNIC-AS-00056, US",,FAFB-NET
50.1.136.239,7065,"SNIC, US",,SONIC-BLK
170.47.35.198,22178,"PA-SENATE, US",,SENATE-NET
119.137.14.38,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-GD
53.14.185.135,31399,"DAIMLER-AS ITTTN Global Network, DE",DE,MERCEDES-BENZ-NET1
180.208.15.135,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,NJR-CERNET
69.79.5.12,23520,"LIBERTY-NETWORKS, US",,PONTIFICIA-UNIVERSIDAD-CATOLICA-DE-PUERTO-RICO
198.143.235.129,16509,"AMAZON-02, US",,AMAZO-4
151.191.21.85,NA,NA,,UBSNYC
206.247.189.114,NA,NA,,ZVC
55.97.65.14,361,"DNIC-ASBLK-00306-00371, US",,CONUS-RCAS
40.199.102.211,4249,"LILLY-AS, US",,LILLY-NET
160.253.215.249,40102,"AS-MONTGOMERY-COLLEGE-AS1, US",,MC
57.207.153.89,NA,NA,BE,OBS_SITA-INTERNET
111.22.144.111,56047,"CMNET-HUNAN-AP China Mobile communications corporation, CN",CN,CMNET
209.17.123.16,19871,"NETWORK-SOLUTIONS-HOSTING, US",,WEB-COM-BLK3
162.253.16.72,45352,"IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd, MY",MY,IPSERVERONE-MY
159.159.104.213,NA,NA,,SHELL-CAN
152.41.170.227,22854,"CATAWBA-COLLEGE, US",,CATAWBA-NET
64.198.133.16,7029,"WINDSTREAM, US",,PAETECCOMM
9.123.44.201,NA,NA,,IBM
174.121.160.242,36351,"SOFTLAYER, US",,NETBLK-THEPLANET-BLK-16
207.219.192.112,852,"TELUS Communications, CA",,PRE-PRINT-INC
218.155.111.50,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
209.2.55.36,7029,"WINDSTREAM, US",,PAET-NJ-ALK-T-1
62.251.9.110,1136,"KPN KPN National, NL",NL,KPN
207.42.193.134,174,"COGENT-174, US",,SPRINTLINK-BLKR
200.113.211.196,27653,"Alpha Communications Network, HT",,200.113.208.0 - 200.113.223.255
119.77.213.180,24164,"UBBNET-AS-TW UNION BROADBAND NETWORK, TW",TW,UBBNET-NET
178.143.178.84,15962,"OSK-DNI Slovakia, SK",SK,SK-ORANGE-DNI-FTTH
182.89.36.47,4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,UNICOM-GX
21.118.114.119,749,"DNIC-AS-00749, US",,DNIC-SNET-021
61.73.11.56,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
220.128.180.110,3462,"HINET Data Communication Business Group, TW",TW,HINET-NET
92.174.220.117,3215,"France Telecom - Orange, FR",FR,FR-TELECOM-20070712
184.15.216.19,5650,"FRONTIER-FRTR, US",,FRONTIER-COMMUNICATIONS
213.129.168.157,12321,"ES-IBERCOMTELECOM-BACKBONE, ES",ES,IBERCOMNET
129.184.6.75,3215,"France Telecom - Orange, FR",FR,SOBULL-NET
208.71.175.40,33322,"NDCHOST, US",,NDCHOST
186.206.246.44,28573,"Claro NXT Telecomunicacoes Ltda, BR",BR,143202
55.134.94.203,721,"DNIC-ASBLK-00721-00726, US",,CONUS-RCAS
98.166.11.231,22773,"ASN-CXA-ALL-CCI-22773-RDC, US",,NETBLK-HR-RDC-98-166-0-0
204.159.34.166,NA,NA,,NETBLK-ATT2
52.224.221.81,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
218.242.211.153,9812,"CNNIC-CN-COLNET Oriental Cable Network Co., Ltd., CN",CN,COLNET
159.196.242.227,4764,"WIDEBAND-AS-AP Aussie Broadband, AU",AU,AussieBroadband
64.7.110.141,15042,"URBN, US",,URBANCOM
72.157.203.90,6389,"BELLSOUTH-NET-BLK, US",,BLS-72-157-192-0-1001291008
188.109.184.50,3209,"VODANET International IP-Backbone of Vodafone, DE",DE,ARCOR-DSL-NET19
216.20.43.221,NA,NA,,TWILI-11
171.20.248.79,NA,NA,DK,DK-LEGOSYSTEM-20091006
119.73.144.37,3758,"SINGNET SingNet, SG",SG,BT-SINGAPORE-SG
74.238.226.227,6389,"BELLSOUTH-NET-BLK, US",,BELLSNET-BLK18
210.107.33.38,3786,"LGDACOM LG DACOM Corporation, KR",KR,BORANET-KR
219.92.172.188,4788,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY,INFRA-TMNET
140.24.41.169,749,"DNIC-AS-00749, US",,DREN-EXT
16.36.151.68,NA,NA,,HPE-15
157.161.26.192,6772,"IMPNET-AS, CH",CH,IMPROWARE
191.48.117.14,26615,"TIM SA, BR",BR,224825
12.48.6.226,7018,"ATT-INTERNET4, US",,ATT
24.111.12.17,11232,"MIDCO-NET, US",,NET-24-111-12-0-24-STATIC
207.241.191.68,4913,"NET-CPRK, US",,NETSATX-1
199.105.101.3,7018,"ATT-INTERNET4, US",,CERF-BASH-A
46.102.224.120,39647,"REDHOSTING-AS, NL",NL,Xenosite-Fiber-46-102-224-0
213.73.12.220,21064,"OLMAN-COM-AS OLMAN, Metropolitan Area Network commercial AS, PL",PL,OLMAN
216.224.207.214,NA,NA,,TYCOIS
182.108.19.88,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-JX
66.202.53.194,7029,"WINDSTREAM, US",,ONECOM-66-202
192.228.91.20,211321,"NLNETLABS, NL",,ISC-NET5
33.19.47.34,749,"DNIC-AS-00749, US",,DISN-IP-LEGACY
139.81.170.72,16509,"AMAZON-02, US",,AMAZO-4
178.191.5.141,8447,"A1TELEKOM-AT A1 Telekom Austria AG, AT",AT,A1TA-HSI
207.173.214.87,7385,"ABUL-14-7385, US",,ELI-NETBLK5
84.62.134.210,3209,"VODANET International IP-Backbone of Vodafone, DE",DE,ARCOR-DSL-NET14
23.40.215.121,16625,"AKAMAI-AS, US",,AIBV
221.39.119.178,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
59.100.209.55,2764,"AAPT AAPT Limited, AU",AU,AAPTLimited
183.249.222.236,56041,"CMNET-ZHEJIANG-AP China Mobile communications corporation, CN",CN,CMNET
167.153.238.4,22252,"AS22252, US",,CITYNET-167-153
8.64.50.191,3356,"LEVEL3, US",,LVLT-ORG-8-8
71.63.72.8,7922,"COMCAST-7922, US",,RICHMOND-29
192.62.90.236,20115,"CHARTER-20115, US",,CC04
33.66.247.142,749,"DNIC-AS-00749, US",,DISN-IP-LEGACY
50.122.12.205,7011,"FRONTIER-AND-CITIZENS, US",,FRTR-LEGACY-FTR13
60.94.176.18,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
152.8.177.60,81,"NCREN, US",,NCAT-NET
21.9.52.87,749,"DNIC-AS-00749, US",,DNIC-SNET-021
215.44.151.97,749,"DNIC-AS-00749, US",,DNIC-NET-215
103.91.98.86,136360,"INSPL-IN Isolnet Network Solution Pvt Ltd, IN",IN,INSPL
187.0.114.80,22689,"SERCOMTEL SA TELECOMUNICACOES, BR",BR,119439
158.185.198.82,NA,NA,,LORAL-NET3
208.81.55.254,19223,"NTEGRATED-SOLUTIONS, US",,NTEGRATED-SOLUTIONS
66.204.197.28,21852,"DISNW1, US",,ARDIS2
28.195.178.114,749,"DNIC-AS-00749, US",,DNIC-NET-028
220.174.219.190,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Hainan-TELECOM
34.128.98.24,396982,"GOOGLE-CLOUD-PLATFORM, US",,GOOGL-2
106.35.105.12,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-HN
203.172.96.214,4750,"CSLOXINFO-AS-AP CS LOXINFO PUBLIC COMPANY LIMITED, TH",TH,spns-csloxinfo
82.90.17.56,3269,"ASN-IBSNAZ, IT",IT,ALICE-SMART
76.37.86.65,11351,"TWC-11351-NORTHEAST, US",,RRPRI
54.80.196.171,14618,"AMAZON-AES, US",,AMAZON-2011L
137.6.107.122,367,"DNIC-ASBLK-00306-00371, US",,AF-AFMC-AFSN-137-6
200.50.73.151,NA,NA,,BDS-NET3
199.0.191.186,174,"COGENT-174, US",,FON-333871411278427
209.110.192.203,NA,NA,,LVLT-ORG-209-110-96
193.250.4.66,3215,"France Telecom - Orange, FR",FR,IP2000-ADSL-BAS
89.176.200.77,16019,"VODAFONE-CZ-AS, CZ",CZ,Vodafone-BROADBAND-XXX
138.25.214.235,7575,"AARNET-AS-AP Australian Academic and Research Network AARNet, AU",AU,UOTS-AU
80.153.90.208,3320,"DTAG Internet service provider operations, DE",DE,DTAG-STATIC04
223.153.46.144,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-HN
221.183.186.54,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",CN,CMNET
179.135.141.8,26599,"TELEFONICA BRASIL S.A, BR",BR,203750
197.31.251.142,37492,"ORANGE-, TN",TN,ORG-ATIA2-AFRINIC
134.223.82.220,1906,"NORTHROP-GRUMMAN, US",,GRUMMANLAN
197.132.47.81,24835,"RAYA-AS, EG",EG,ORG-RT2-AFRINIC
51.2.243.253,NA,NA,GB,UK-DWP
221.232.94.152,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-HB
210.234.176.125,2516,"KDDI KDDI CORPORATION, JP",JP,KDDI-NET
160.48.100.133,NA,NA,DE,BMW-NET
222.101.11.174,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
92.64.249.97,1136,"KPN KPN National, NL",NL,OTS171939
213.217.176.166,8968,"BT-ITALIA, IT",IT,IT-ALBACOM-20000615
150.39.233.225,38654,"INES-NETWORK INES Corporation., JP",JP,JAPAN150
192.105.233.11,NA,NA,,NETBLK-JR-C-3
86.77.18.181,15557,"LDCOMNET --- I3Dnet ---, FR",FR,N9UF-DYN-DSL
141.101.8.77,31272,"WILDPARK-AS ISP WildPark, Ukraine, Nikolaev, UA",UA,WPARK
154.46.206.238,174,"COGENT-174, US",,COGENT-154-46-16
209.82.16.67,6461,"ZAYO-6461, US",,ALLSTREAM-6
57.165.188.238,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",GB,GB-MICROSOFT
76.231.207.70,7018,"ATT-INTERNET4, US",,SBCIS-SBIS-6BLK
131.115.203.65,1729,"TELIA-TCN Telia Corporate Network, SE",SE,SE-TELIANET-930120
93.0.23.126,15557,"LDCOMNET --- I3Dnet ---, FR",FR,SFR-USER-DATA
48.238.82.129,NA,NA,GB,UK-MICROSOFT-19901207
153.113.9.57,1906,"NORTHROP-GRUMMAN, US",,NORTHROP-ESD
35.89.37.92,16509,"AMAZON-02, US",,AMAZON-ZPDX
40.187.139.86,16509,"AMAZON-02, US",,AMAZO-4
2.83.61.110,3243,"MEO-RESIDENCIAL, PT",PT,MEO-BROADBAND
202.64.159.95,9381,"HKBNES-AS-AP HKBN Enterprise Solutions HK Limited, HK",HK,HKBNES-HK
130.79.122.181,2259,"FR-U-STRASBOURG OSIRIS - UNIVERSITE DE STRASBOURG, EU",FR,FR-OSIRIS
166.85.50.162,NA,NA,ZA,ORG-TSBO2-AFRINIC
213.65.95.5,3301,"TELIANET-SWEDEN Telia Company, SE",SE,TELIANET
154.249.150.61,36947,"ALGTEL-AS, DZ",DZ,
126.10.92.127,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
163.250.33.50,NA,NA,,163.250.0.0 - 163.250.255.255
168.197.18.60,52947,"PARAOPEBANET PROVEDOR LTDA, BR",BR,290767
140.66.210.219,749,"DNIC-AS-00749, US",,DNIC-RNET-140-066
50.147.180.122,7922,"COMCAST-7922, US",,DENVER-CCS-2
61.159.82.171,141998,"CHINANET-LANZHOU-IDC China Telecom, CN",CN,CHINANET-GS
202.87.62.155,17439,"NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN",IN,NCINSPL-IN
216.245.18.116,NA,NA,,MODUSLINK
179.26.172.93,6057,"Administracion Nacional de Telecomunicaciones, UY",,179.24.0.0 - 179.31.255.255
132.133.233.219,306,"DNIC-ASBLK-00306-00371, US",,ARNG-WY-NGNET
145.246.89.181,NA,NA,GB,ICEDATASERVICES
213.238.64.146,NA,NA,PL,PL-NETIA-20010307
4.58.107.129,3356,"LEVEL3, US",,LVLT-ORG-4-8
126.173.8.169,17676,"GIGAINFRA SoftBank Corp., JP",JP,BBTEC
161.15.29.138,NA,NA,,PWCM
205.178.54.112,6079,"RCN-AS, US",,RCN-BLK-18
21.155.185.13,749,"DNIC-AS-00749, US",,DNIC-SNET-021
67.174.66.238,7922,"COMCAST-7922, US",,E-TENNESSEE-8
190.28.21.174,13489,"UNE EPM TELECOMUNICACIONES S.A., CO",,190.28.0.0 - 190.28.255.255
164.213.14.51,749,"DNIC-AS-00749, US",,DNIC-SNET-164-213
34.218.252.85,16509,"AMAZON-02, US",,AT-88-Z
92.86.197.36,9050,"RTD Bucharest, Romania, RO",RO,Telekom_Romania
219.66.230.101,4725,"ODN SoftBank Corp., JP",JP,ODN
28.25.16.151,749,"DNIC-AS-00749, US",,DNIC-NET-028
69.56.238.67,NA,NA,,NETBLK-THEPLANET-BLK-7
121.208.246.152,1221,"ASN-TELSTRA Telstra Limited, AU",AU,TELSTRAINTERNET45-AU
35.132.187.222,20115,"CHARTER-20115, US",,CC04
30.138.240.214,749,"DNIC-AS-00749, US",,DNIC-NET-030
186.91.171.193,NA,NA,,186.88.0.0 - 186.95.255.255
204.48.88.101,5769,"VIDEOTRON, CA",,TSF-204-48-80-0-20
133.94.203.89,2907,"SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP",JP,JPNIC-NET-JP-ERX
212.208.227.88,702,"UUNET, US",FR,FR-IWAY-980206
185.69.85.249,42973,"METRONETUK_M24SEVEN, GB",GB,UK-BROMLEYNET-20140908
217.102.80.40,33915,"TNF-AS, NL",NL,ZIGGO-SERVICES-NL-HORIZON-4
7.170.9.53,749,"DNIC-AS-00749, US",,DISANET7
188.89.242.143,50266,"ODIDO, NL",NL,Odido-Netherlands
33.96.179.84,749,"DNIC-AS-00749, US",,DISN-IP-LEGACY
54.137.191.230,16509,"AMAZON-02, US",,AMAZO-4
114.231.170.224,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-JS
119.243.51.40,2518,"BIGLOBE BIGLOBE Inc., JP",JP,BIGLOBE-16
104.152.63.123,11071,"IW-ASN-11071, US",,FIF-STG-AWI-NET4-2
76.93.116.55,20001,"TWC-20001-PACWEST, US",,RRWE
212.51.208.229,8256,"LODMAN-AS Metropolitan Area Network LODMAN, PL",PL,TULODZ-NET
96.109.174.50,7922,"COMCAST-7922, US",,CABLE-1
211.64.19.13,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,CERNET-CN
45.183.211.108,269291,"Next Provedor de Acesso a Internet Ltda Me, BR",BR,368914
40.68.0.113,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
151.182.157.249,12430,"VODAFONE_ES, ES",ES,VODAFONE_SPAIN_NETWORK
41.255.74.123,21003,"GPTC-AS, LY",LY,ORG-LTaT1-AFRINIC
182.227.127.64,17858,"POWERVIS-AS-KR LG POWERCOMM, KR",KR,Xpeed-KR
192.34.190.139,16486,"WEYERHAEUSER, US",,CORPMB-2
214.171.105.9,749,"DNIC-AS-00749, US",,DNIC-NET-214
204.46.30.48,14298,"EPA-NET, US",,EPA-NET2
125.120.48.171,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-ZJ-HZ
198.55.212.76,14495,"ASN-14495, US",,198-55-128-0-1
201.63.227.148,10429,"TELEFONICA BRASIL S.A, BR",BR,71641
27.214.149.180,4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,UNICOM-SD
202.40.21.220,NA,NA,AU,APNIC-AP
55.35.215.200,322,"DNIC-ASBLK-00306-00371, US",,CONUS-RCAS
175.197.80.49,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
68.99.248.78,22773,"ASN-CXA-ALL-CCI-22773-RDC, US",,NETBLK-PH-RDC-68-99-192-0
206.120.157.116,NA,NA,,ESLAC-EDS
147.171.117.135,1942,"FR-TIGRE Toile Informatique GREnobloise, EU",FR,FR-U-GRENOBLE-ALPES
217.29.159.20,29056,"CITYCOM-AS, AT",AT,HDI-AT-NET-01
23.151.103.121,NA,NA,,NET23
215.84.251.230,749,"DNIC-AS-00749, US",,DNIC-NET-215
211.27.37.131,9443,"VOCUS-RETAIL-AU Vocus Retail, AU",AU,VOCUS-AU
123.210.192.1,1221,"ASN-TELSTRA Telstra Limited, AU",AU,TELSTRAINTERNET46-AU
207.129.231.105,6289,"AHM-CORP, US",,HONDA-CIDR-1
171.21.82.230,28806,"KLMNET-AS, NL",NL,KLM-PI-NET2-NL
30.252.144.198,749,"DNIC-AS-00749, US",,DNIC-NET-030
138.90.69.162,16509,"AMAZON-02, US",,AMAZO-4
135.103.40.146,10455,"LUCENT-CIO, US",,LUCENT-135-103-0-0-B
89.168.94.248,31898,"ORACLE-BMC-31898, US",GB,SE-ORACLE-SE-20060223
160.48.59.209,NA,NA,DE,BMW-NET
223.70.40.86,56048,"CMNET-BEIJING-AP China Mobile Communicaitons Corporation, CN",CN,CMNET
223.73.240.43,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN",CN,CMNET
175.137.221.88,4788,"TTSSB-MY TM TECHNOLOGY SERVICES SDN. BHD., MY",MY,ADSL-STREAMYX
169.148.118.79,25019,"SAUDINETSTC-AS, SA",SA,STC_FBB
207.228.24.128,7018,"ATT-INTERNET4, US",,GBIS-207-228-0-0-18
206.196.165.111,NA,NA,,MAX-UMD-206-196-160-0--19
205.6.159.70,749,"DNIC-AS-00749, US",,DNIC-SNET-205-000
62.21.89.109,13110,"INEA-AS, PL",PL,GPON-Network
195.17.39.23,16509,"AMAZON-02, US",DE,US-A100ROW-19961022
194.137.19.215,1759,"TSF-IP-CORE Telia Finland Oyj, FI",FI,FACI-NET
195.94.160.106,5394,"UNIDATA Unidata S.p.A. NOC - Italy, IT",IT,UNIDATA-CUSTOMERS
54.83.110.81,14618,"AMAZON-AES, US",,AMAZON-2011L
181.252.98.22,26611,"COMUNICACION CELULAR S.A. COMCEL S.A., CO",,181.240.0.0 - 181.255.255.255
222.238.150.52,9318,"SKB-AS SK Broadband Co Ltd, KR",KR,broadNnet-KR
201.204.141.116,11830,"Instituto Costarricense de Electricidad y Telecom., CR",,201.204.141.0 - 201.204.141.255
220.74.82.202,4766,"KIXS-AS-KR Korea Telecom, KR",KR,KORNET-KR
108.31.193.36,701,"UUNET, US",,VIS-BLOCK
20.161.150.75,8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",,MSFT
217.80.45.239,3320,"DTAG Internet service provider operations, DE",DE,DTAG-DIAL14
212.98.209.187,15924,"BORUSANTELEKOM-AS, TR",TR,TR-VFNET-990604
141.180.237.62,NA,NA,,HP170
220.147.148.173,2519,"VECTANT ARTERIA Networks Corporation, JP",JP,V-FLETS
156.169.156.65,36992,"ETISALAT-MISR, EG",EG,ORG-EM1-AFRINIC
190.191.89.16,7303,"Telecom Argentina S.A., AR",,190.190.0.0 - 190.191.255.255
108.72.72.133,7018,"ATT-INTERNET4, US",,SBCIS-SBIS
24.155.175.210,7459,"GRANDECOM-AS1, US",,GRANDECOM-MARKET05-03
13.223.169.49,14618,"AMAZON-AES, US",,AMAZON-IAD
11.202.46.10,749,"DNIC-AS-00749, US",,DODIIS
188.198.120.169,5603,"SIOL-NET Telekom Slovenije d.d., SI",SI,TELEKOM-MOBILE
104.48.218.95,7018,"ATT-INTERNET4, US",,SIS-80-4-11-2014
209.229.159.70,NA,NA,,AMAZO-4
132.17.205.52,56,"DNIC-AS-00056, US",,AF-AFMC-AFSN-132-17
161.128.204.229,NA,NA,,NYNEXSVCS
28.0.72.94,749,"DNIC-AS-00749, US",,DNIC-NET-028
129.76.46.11,NA,NA,,ROSEMOUNT
184.31.221.116,16625,"AKAMAI-AS, US",,AKAMAI
151.213.5.158,7029,"WINDSTREAM, US",,WINDSTREAM-COMMUNICATIONS
171.21.242.216,NA,NA,NL,KLMNET
166.172.158.249,20057,"ATT-MOBILITY-LLC-AS20057, US",,AEL-360
89.183.145.147,13045,"HTP-AS, DE",DE,HTP-DYN-DSL
195.60.37.6,NA,NA,DK,DE-DXC-19970617
202.4.151.197,4538,"ERX-CERNET-BKB China Education and Research Network Center, CN",CN,BUCT-CN
216.178.18.117,5656,"ACCESSUS-DOM, US",,I1NET-216-178-18-0
38.169.33.221,174,"COGENT-174, US",,COGENT-A
215.154.126.8,749,"DNIC-AS-00749, US",,DNIC-NET-215
139.141.37.30,25242,"KUWAIT-UNIVERSITY Computer Information Systems Kuwait University Kuwait, KW",KW,UKWT-NET
192.53.0.35,NA,NA,,HP9
163.51.211.19,2907,"SINET-AS Research Organization of Information and Systems, National Institute of Informatics, JP",JP,KNURINK
193.23.38.109,8590,"BMW Bayerische Motoren Werke Aktiengesellschaft, DE",DE,DE-BMW-AG-19920729
215.142.29.226,749,"DNIC-AS-00749, US",,DNIC-NET-215
160.250.62.129,140815,"HTTVSERVER-VN HTTVSERVER TECHNOLOGY COMPANY LIMITED, VN",VN,LTL-VN
192.63.242.10,11427,"TWC-11427-TEXAS, US",,CC04
7.104.172.234,749,"DNIC-AS-00749, US",,DISANET7
145.214.215.18,1101,"IP-EEND-AS IP-EEND BV, NL",NL,SURFNET-BLOCKB210
221.246.179.128,17506,"UCOM ARTERIA Networks Corporation, JP",JP,AC0011010101
163.244.5.117,3614,"DELL-BLK, US",,NET-DELL-INT
214.136.187.90,749,"DNIC-AS-00749, US",,DNIC-NET-214
200.25.165.123,14522,"SERVICIOS DE TELECOMUNICACIONES SETEL S.A. XTRIM EC, EC",,200.25.160.0 - 200.25.167.255
209.160.202.237,32884,"DV-TRADING-LLC, US",,NET-209-160-202-0-24
223.9.252.71,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-SX
96.231.21.89,701,"UUNET, US",,VIS-BLOCK
105.91.37.171,36992,"ETISALAT-MISR, EG",EG,
136.208.247.147,749,"DNIC-AS-00749, US",,DNIC-RNET-136-208
212.216.128.13,3269,"ASN-IBSNAZ, IT",IT,TIN
197.77.222.97,16637,"MTNNS-AS, ZA",ZA,
128.162.232.157,NA,NA,,SGI-1BLK
182.105.97.166,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,CHINANET-JX
48.114.35.135,NA,NA,,PRU48
